customer_id,first_name,last_name,email,age,city,avg_monthly_spend,is_churned,loyalty_tier,preferred_store
CUST100000,Jason,Parsons,smithalex@example.org,72,Miami,35.34,False,Bronze,15
CUST100001,Juan,Moran,albertjones@example.com,38,Chicago,28.19,False,Silver,1
CUST100002,Bradley,Graham,eanderson@example.net,52,Miami,21.69,True,Silver,12
CUST100003,Heather,Kane,darrellmiller@example.org,58,NYC,19.31,False,Silver,10
CUST100004,Alisha,Henry,hortonlinda@example.org,21,Miami,25.88,False,Bronze,12
CUST100005,Kelly,Kelly,matthewzamora@example.org,56,LA,47.37,False,Gold,14
CUST100006,Kristi,Chapman,moorepamela@example.net,34,NYC,73.38,False,Bronze,22
CUST100007,Douglas,Sandoval,lisa20@example.com,41,Miami,18.87,False,Silver,6
CUST100008,Christopher,Bryant,ilarson@example.org,35,LA,20.59,True,Gold,25
CUST100009,William,Martinez,judy90@example.net,47,Chicago,33.91,False,Silver,6
CUST100010,Jennifer,Wise,johnstonallen@example.net,73,Miami,19.02,False,Silver,14
CUST100011,John,Lane,jessicabecker@example.com,56,Houston,34.11,False,Bronze,15
CUST100012,Kevin,Johnson,snowsamuel@example.net,71,Chicago,31.74,False,Gold,2
CUST100013,Monica,Reilly,jonathonrogers@example.org,62,Chicago,55.2,False,Bronze,23
CUST100014,Shelby,Shaffer,qroberts@example.org,29,Houston,23.01,False,Bronze,15
CUST100015,Stephanie,Allen,cgreen@example.org,79,LA,27.05,False,Gold,14
CUST100016,Gary,Pearson,guzmanjonathan@example.net,73,NYC,16.41,False,Silver,25
CUST100017,Kelly,Haas,larry94@example.org,54,Chicago,27.69,False,Bronze,5
CUST100018,Latasha,Rodriguez,ericksonmitchell@example.com,54,NYC,83.89,False,Bronze,21
CUST100019,Dawn,Dean,gjones@example.org,69,Miami,61.85,False,Silver,7
CUST100020,Anne,Farmer,veronica86@example.org,72,Chicago,108.96,False,Gold,11
CUST100021,Allison,Harris,bryanflores@example.net,19,Chicago,47.03,False,Gold,22
CUST100022,Sara,Henderson,jonathan67@example.com,31,NYC,51.05,True,Bronze,25
CUST100023,Matthew,Rojas,wmoore@example.org,32,LA,52.05,False,Gold,4
CUST100024,Donna,Cox,michelle94@example.org,24,Houston,37.88,False,Silver,6
CUST100025,Charles,Lopez,andrewhall@example.com,47,Houston,54.12,False,Gold,3
CUST100026,Molly,Herman,jerry13@example.net,35,Houston,11.44,True,Bronze,8
CUST100027,Phillip,Hebert,steelemolly@example.org,43,Houston,42.42,False,Silver,2
CUST100028,Kathryn,Gutierrez,isabelpaul@example.com,77,LA,20.64,False,Silver,15
CUST100029,Joshua,Shepherd,rachel13@example.org,44,NYC,37.23,True,Bronze,25
CUST100030,Jennifer,Williams,jason84@example.com,49,Chicago,36.58,False,Bronze,14
CUST100031,Mikayla,Wright,hjohnson@example.org,78,NYC,19.81,False,Gold,14
CUST100032,Jon,Henderson,ronald58@example.net,19,LA,22.35,False,Bronze,17
CUST100033,Nichole,Ramirez,schultzmargaret@example.net,21,LA,67.53,True,Bronze,19
CUST100034,Mario,Walker,pinedabethany@example.net,35,NYC,26.16,False,Silver,25
CUST100035,Brandi,Cruz,asmith@example.com,20,Chicago,44.47,False,Bronze,19
CUST100036,Amanda,Mcgrath,jpratt@example.net,66,Houston,57.54,True,Bronze,24
CUST100037,Kelsey,Martin,kathy78@example.org,78,Houston,17.93,False,Silver,19
CUST100038,Miranda,Spencer,lhernandez@example.org,66,Miami,19.71,False,Silver,18
CUST100039,Angela,Green,vbush@example.com,31,Houston,28.16,False,Gold,7
CUST100040,Nicole,Mitchell,umcguire@example.com,36,NYC,9.84,False,Gold,8
CUST100041,Jeff,Wall,jacksonshelly@example.org,24,Houston,51.97,False,Gold,16
CUST100042,Brittney,Jennings,loricampbell@example.org,47,Houston,33.94,False,Bronze,25
CUST100043,Christina,Brown,davidali@example.org,69,Houston,28.95,False,Silver,2
CUST100044,Justin,Davenport,monicajackson@example.org,53,Chicago,51.15,False,Bronze,21
CUST100045,Destiny,Rodgers,dgutierrez@example.net,47,NYC,46.49,False,Gold,19
CUST100046,William,Torres,edwardsmith@example.net,47,Houston,37.39,True,Gold,6
CUST100047,April,Allen,betty63@example.com,36,Chicago,38.68,False,Silver,9
CUST100048,Kevin,Coleman,williamguerra@example.com,32,Houston,29.12,True,Silver,11
CUST100049,Gregory,Wheeler,reedrichard@example.net,79,Houston,25.5,True,Silver,13
CUST100050,Robert,Melendez,hwu@example.com,38,Miami,26.03,False,Gold,24
CUST100051,Devon,Brown,tgregory@example.net,30,LA,22.63,False,Silver,13
CUST100052,Shelia,Medina,martinscott@example.net,76,NYC,41.81,True,Bronze,8
CUST100053,Charles,Wilson,jodi20@example.net,61,LA,21.72,False,Bronze,9
CUST100054,Michael,Mccarthy,baileyjose@example.org,19,Chicago,83.04,True,Silver,23
CUST100055,Nina,Morris,rossderek@example.com,45,Houston,23.14,False,Bronze,16
CUST100056,Garrett,Jacobs,fletchernoah@example.net,43,NYC,19.42,False,Silver,17
CUST100057,Scott,Kelley,trevor43@example.com,31,Miami,12.88,True,Gold,9
CUST100058,Crystal,Spencer,jlynch@example.org,67,LA,36.18,False,Gold,16
CUST100059,Antonio,Kim,melanie61@example.net,47,NYC,65.53,True,Silver,5
CUST100060,Angela,Myers,dale23@example.org,78,Chicago,49.22,False,Gold,14
